Date,Open,High,Low,Close,Adj Close,Volume
2016-06-14,105.900002,106.330002,105.360001,105.949997,94.130608,2170100
2016-06-15,106.190002,106.599998,105.739998,105.839996,94.032890,1841500
2016-06-16,105.300003,106.180000,104.699997,106.150002,94.308304,1884300
2016-06-17,106.120003,106.120003,105.389999,105.800003,93.997368,1713000
2016-06-20,106.930000,107.389999,106.459999,106.519997,94.637001,2402900
2016-06-21,106.800003,106.989998,106.389999,106.750000,94.841354,2248300
2016-06-22,106.800003,107.279999,106.440002,106.510002,94.628136,2002700
2016-06-23,107.419998,108.000000,107.139999,107.980003,95.934174,1622300
2016-06-24,104.120003,105.940002,103.860001,104.050003,92.442566,7370400
2016-06-27,103.220001,103.230003,101.510002,101.980003,90.603493,5213600
2016-06-28,103.080002,103.860001,102.830002,103.849998,92.264870,7569500
2016-06-29,104.680000,105.830002,104.650002,105.709999,93.917404,2635700
2016-06-30,106.010002,107.199997,105.620003,107.160004,95.205612,5552300
2016-07-01,107.160004,107.750000,107.070000,107.370003,95.392197,2938000
2016-07-05,106.940002,107.000000,106.139999,106.570000,94.681442,3019900
2016-07-06,106.199997,107.260002,105.879997,107.220001,95.258942,1767700
2016-07-07,107.370003,107.769997,106.750000,107.169998,95.214531,1669800
2016-07-08,107.910004,108.989998,107.860001,108.839996,96.698235,2362200
2016-07-11,109.190002,109.620003,109.000000,109.290001,97.098022,3868300
2016-07-12,109.879997,110.400002,109.680000,110.199997,97.906509,3222800
2016-07-13,110.430000,110.500000,109.809998,110.139999,97.853188,1485700
2016-07-14,110.720001,110.989998,110.459999,110.669998,98.324051,1561100
2016-07-15,110.889999,110.970001,110.290001,110.550003,98.217468,1385500
2016-07-18,110.650002,110.930000,110.440002,110.860001,98.492874,1359900
2016-07-19,110.620003,110.750000,110.400002,110.639999,98.297394,3154100
2016-07-20,110.680000,111.330002,110.660004,111.230003,98.821587,1135900
2016-07-21,111.180000,111.290001,110.519997,110.790001,98.430672,3393400
2016-07-22,110.900002,111.360001,110.709999,111.320000,98.901550,3546700
2016-07-25,111.239998,111.269997,110.690002,111.029999,98.643906,1394200
2016-07-26,111.059998,111.339996,110.629997,111.150002,98.750534,1432300
2016-07-27,111.410004,111.419998,110.559998,111.019997,98.635033,1977500
2016-07-28,110.889999,111.379997,110.660004,111.160004,98.759415,1945800
2016-07-29,111.089996,111.620003,110.820000,111.419998,98.990402,1638200
2016-08-01,111.400002,111.669998,111.000000,111.269997,98.857140,2093200
2016-08-02,111.190002,111.230003,109.949997,110.430000,98.110832,2473900
2016-08-03,110.389999,110.860001,110.209999,110.839996,98.475105,1353600
2016-08-04,110.849998,111.180000,110.690002,110.970001,98.590584,1113600
2016-08-05,111.419998,111.919998,111.320000,111.889999,99.407959,1379600
2016-08-08,111.989998,112.120003,111.690002,111.820000,99.345787,1238800
2016-08-09,111.940002,112.180000,111.750000,111.919998,99.434608,1032500
2016-08-10,111.940002,112.050003,111.419998,111.589996,99.141418,1259100
2016-08-11,111.980003,112.260002,111.730003,112.150002,99.638969,1378000
2016-08-12,111.970001,112.169998,111.760002,112.040001,99.541229,1542900
2016-08-15,112.290001,112.639999,112.070000,112.449997,99.905479,1442800
2016-08-16,112.230003,112.239998,111.809998,111.809998,99.336868,1228600
2016-08-17,111.839996,112.029999,111.269997,111.949997,99.461266,2791500
2016-08-18,111.919998,112.300003,111.709999,112.300003,99.772255,972100
2016-08-19,112.000000,112.230003,111.730003,112.139999,99.630081,1000600
2016-08-22,112.040001,112.250000,111.769997,112.169998,99.656715,1102000
2016-08-23,112.480003,112.779999,112.440002,112.470001,99.923264,3252300
2016-08-24,112.430000,112.459999,111.589996,111.839996,99.363548,2267800
2016-08-25,111.699997,112.070000,111.550003,111.769997,99.301346,1205200
2016-08-26,111.870003,112.550003,111.050003,111.540001,99.097000,1851100
2016-08-29,111.720001,112.330002,111.699997,112.150002,99.638969,1071200
2016-08-30,112.160004,112.300003,111.660004,111.970001,99.479042,1534600
2016-08-31,111.879997,111.900002,111.199997,111.650002,99.194748,1393700
2016-09-01,111.769997,111.889999,110.970001,111.709999,99.248062,1670900
2016-09-02,112.190002,112.510002,111.919998,112.279999,99.754463,1563200
2016-09-06,112.459999,112.620003,112.019997,112.599998,100.038765,4111700
2016-09-07,112.540001,112.750000,112.290001,112.750000,100.172028,1590000
2016-09-08,112.570000,112.669998,112.260002,112.459999,99.914368,1152400
